0.90202 	-0.051635 	0.0813863 	-0.0142147 	3.82234e-25 	0.0063651 	-0.00113346 	-5.94549e-23 	0.00714642 	-2.99072e-22 	0.00675558
0.949495 	-0.0517098 	0.0962459 	-0.0166442 	-2.73158e-21 	0.00796752 	-0.00170087 	1.71644e-21 	0.00907897 	-2.07654e-22 	0.00852325
0.99697 	-0.0517776 	0.107985 	-0.0184745 	-1.88685e-21 	0.00911553 	-0.00226945 	1.39335e-21 	0.010536 	-1.32342e-21 	0.00982578
1.04444 	-0.0518397 	0.11898 	-0.0201251 	-1.00996e-22 	0.0100971 	-0.00283572 	6.14605e-22 	0.0118059 	3.04454e-22 	0.0109515
1.09192 	-0.0518966 	0.129813 	-0.0216968 	3.94175e-21 	0.0109924 	-0.00339912 	-6.01052e-21 	0.0129698 	1.84815e-22 	0.0119811
1.13939 	-0.051948 	0.140754 	-0.0232287 	-1.00895e-21 	0.0118335 	-0.0039584 	2.07313e-21 	0.0140581 	1.23517e-21 	0.0129458
1.18687 	-0.0519946 	0.151924 	-0.0247453 	-2.55175e-21 	0.0126455 	-0.00451323 	4.53914e-21 	0.0150982 	-1.44232e-21 	0.0138718
1.23434 	-0.0520361 	0.163409 	-0.0262553 	1.39168e-21 	0.0134368 	-0.0050624 	-2.66342e-21 	0.0160972 	-3.0422e-22 	0.014767
1.28182 	-0.0520725 	0.175271 	-0.0277635 	3.26897e-22 	0.0142132 	-0.00560455 	-6.97165e-22 	0.0170597 	3.88224e-22 	0.0156365
1.32929 	-0.0521038 	0.187548 	-0.0292716 	6.298e-24 	0.0149778 	-0.00613824 	-7.7658e-25 	0.0179884 	4.3756e-22 	0.0164831
1.37677 	-0.05213 	0.200249 	-0.0307791 	-1.15511e-21 	0.0157321 	-0.0066622 	2.30235e-21 	0.0188847 	1.31915e-22 	0.0173084
1.42424 	-0.0521516 	0.213356 	-0.0322841 	-2.26338e-21 	0.0164764 	-0.00717576 	4.54128e-21 	0.0197504 	-6.81277e-22 	0.0181134
1.47172 	-0.0521693 	0.226814 	-0.0337861 	-2.16132e-21 	0.0172119 	-0.0076797 	4.5797e-21 	0.0205892 	-1.83684e-21 	0.0189006
1.51919 	-0.0521801 	0.240905 	-0.0352764 	2.03263e-21 	0.0179284 	-0.00816324 	-4.15608e-21 	0.0213765 	-6.56575e-22 	0.0196525
1.56667 	-0.0521875 	0.255328 	-0.0367555 	4.26889e-21 	0.0186317 	-0.00863357 	-9.02382e-21 	0.0221327 	6.19717e-22 	0.0203823
1.61414 	-0.052191 	0.270125 	-0.0382227 	4.32824e-21 	0.0193207 	-0.00908948 	-9.58902e-21 	0.022855 	2.00215e-21 	0.0210879
